name,description,dataset,valid_example
brand_name,The brand name input by collaborators. This has been transformed to be all lower case and removed any trailing white space. ,raw_processed_data,coca cola
parent_company_name,The parent company name input by collaborators or dervied through data cleaning. This is the top most parent company that owns the brand. ,raw_processed_data,the coca cola company
id,A unique identifier for the parent company that is either the wikidata id a url address or the company or brand name input by BFFP collaborators. ,raw_processed_data,Q3295867
validated,The level of validation that has occurred for the data point id. False means only minimal validation has occurred. True means the data point id has been manually verified. Attempted means the data point verification has been attempted but is still somewhat uncertian. ,raw_processed_data,TRUE
submission_type,A identifier for the submission type made to the BFFP data portal. Unique names are unique data sources or formats. ,raw_processed_data,ThirdParty 2022
submission_id,A unique identifier for each submission in integer format.  ,raw_processed_data,1
year,The year that the survey took place. ,raw_processed_data,2020
item_description,More information about the trash object characterized. This is not standardized yet beyond controlling for it being a character type and therefore should be used carefully. ,raw_processed_data,beverage bottles
type_product,The type of product that the trash object is by use or sector. Null means there was no input. ,raw_processed_data,food packaging
type_material,The type of material that the object is by polymer type. ,raw_processed_data,pet
layer,The number of layers that the plastic material has. ,raw_processed_data,single-layer
name_of_lead,A unique identifier for the person in charge of the survey. Names have been converted into numbers but numbers correspond across rows. ,raw_processed_data,2
is_trained,A description on whether the surveyor was trained (yes) or not (no).,raw_processed_data,yes
organization,A unique identifier for the organization submitting the data. ,raw_processed_data,6
volunteer,The number of volunteers involved in the brand audit. ,raw_processed_data,23
start_of_audit,The date the brand audit began. ,raw_processed_data,9/10/2022
end_of_audit,The date the brand audit ended. ,raw_processed_data,9/11/2022
time_spent,The amount of time spent on the audit in hours. ,raw_processed_data,10
city,The name of the city where the audit took place. ,raw_processed_data,benicia
province,The name of the province where the audit took place. ,raw_processed_data,california
country,The name of the country where the audit took place. ,raw_processed_data,united states of america
continent,The name of the continent where the audit took place. ,raw_processed_data,north america
type_of_audit,The type of audit. ,raw_processed_data,outdoor
specifics_of_audit,What land type the audit took place on. ,raw_processed_data,inland
event_total_count,The total number of pieces of trash recorded in the audit. ,raw_processed_data,268
event_id,A unique identifier for each audit event. ,raw_processed_data,ThirdParty 2022_1_2020
longitude_most_specific,The most specific latitude coordinate we could come up with in decimal degrees. ,raw_processed_data,39.7
latitude_most_specific,The most specific longitude coordinate we could come up with in decimal degrees. ,raw_processed_data,43.6
location_specificity,The location specificity. ,raw_processed_data,city
total_count,The total number of pieces of trash during the audit that were found of the type listed in this row including all descriptors. ,raw_processed_data,2
proportion,The proportion of the total trash from the event of the type described in this row. ,raw_processed_data,0.00746
X,Unique identifier for each observation.,events_scrubbed,1
file_name,Name of the file from which data was extracted.,events_scrubbed,NULL
submission_type,Type of template through which the data was submitted.,events_scrubbed,Excel Template Old
submission_id,Unique identifier for each submission.,events_scrubbed,1
year,Year when the event took place.,events_scrubbed,2018
name_of_lead,Unique identifier for the lead person of the event.,events_scrubbed,942
is_trained,Indicator of whether the lead is trained or not.,events_scrubbed,NULL
organization,Unique identifier for the organization conducting the event.,events_scrubbed,195
volunteer,Number of volunteers participated in the event.,events_scrubbed,1
start_of_audit,Start date of the audit.,events_scrubbed,5/6/2018
end_of_audit,End date of the audit.,events_scrubbed,5/6/2018
time_spent,Time spent on the audit (this could be in hours or days).,events_scrubbed,NULL
city,City where the event took place.,events_scrubbed,Fiumicino
province,Province or state where the event took place.,events_scrubbed,Roma
country,Country where the event took place.,events_scrubbed,Italy
continent,Continent where the event took place.,events_scrubbed,Europe
type_of_audit,Type of location where the audit took place.,events_scrubbed,Outdoor
specifics_of_audit,Specific nature of the audit location.,events_scrubbed,Coast / Ocean / Estuary
total_count,Total count of items audited during the event.,events_scrubbed,129
row_id,Unique identifier for each observation.,brands,1
submission_type,Type of template through which the data was submitted.,brands,Excel Template Old
submission_id,Unique identifier for each submission.,brands,1
year,Year when the waste data was recorded.,brands,2018
brand_name,Name of the brand associated with the waste.,brands,Blues
parent_company,Name of the parent company that owns the brand.,brands,Eurospin
item_description,Description of the waste item.,brands,Tennis Balls
type_product,Type or category of the product the waste came from.,brands,SM
type_material,Type of material that the waste is made up of.,brands,PVC
layer,Number of layers of the waste item.,brands,ML
total_count,Total count of this specific waste item recorded.,brands,5
Company name,Name of the company reported in the dataset.,2022_Progress_Report_Data...,A.S. Watson Group
ID,Unique identifier for each company or entity.,2022_Progress_Report_Data...,Q20539261
