id,high,mean,low
100% plombіr,2.92413692271141e-05,7.31034230677852e-06,0
100p,1.02907126318498e-05,3.43023754394992e-06,0
123 supermarket,5.22228024755829e-06,1.48149794256973e-06,0
150 f,3.40116773425543e-05,1.13372257808514e-05,0
150 f lighter,3.20557342365927e-06,1.06852447455309e-06,0
1800 respado,0.00040133779264214,0.000133779264214047,0
1m1,4.70102834995154e-06,1.33362506381604e-06,0
2 kapak degerinde!,6.65127266559729e-07,2.21709088853243e-07,0
2 sisters food group,1.79168657429527e-05,5.97228858098423e-06,0
2% aqua,0.000382226469182991,9.55566172957477e-05,0
20 de junio,1.88244743265544e-06,6.27482477551814e-07,0
"20 mars, rnta",0.00139954457888301,0.000791325959796964,0.000272946744490367
"2018 thai agri foods public co.,ltd.",8.02675585284281e-05,2.67558528428094e-05,0
"2021-07-11 0:00:00, 7-11 convenience store, seven & i holdings co., seven and 1 holdings",2.65872905041711e-05,1.10991634234372e-05,2.5336981858721e-06
23|7,1.26445429313844e-06,4.2148476437948e-07,0
28 hlebozavod,1.02907126318498e-05,3.43023754394992e-06,0
3 arroyos,1.88244743265544e-06,6.27482477551814e-07,0
3 bears,3.06215523606827e-05,8.68696520870434e-06,0
3 borrachas,1.14422749149577e-05,2.86056872873942e-06,0
3 happy days,0.000445930880713489,0.000148643626904496,0
3 horses,2.35002611140123e-05,6.6667407415638e-06,0
3 pipas,8.72473462265523e-05,2.90824487421841e-05,0
3250,0.00123488551582197,0.00041162850527399,0
360 (salted lemon juice),4.45930880713489e-05,1.48643626904496e-05,0
361â°,1.26766641493149e-05,3.5962167799475e-06,0
3a nutrition jsc - vietnam,0.000132907738062815,4.43025793542718e-05,0
3d buggles,6.08087564609304e-06,2.02695854869768e-06,0
3m,2.8608805588814e-05,1.22220666990602e-05,0
3songshu,3.77457607963131e-05,1.2736895797243e-05,0
405 plastics,4.66671851909466e-06,1.55557283969822e-06,0
4700 bc,1.90611118170782e-06,5.40740760768176e-07,0
4k,0.000350374263417742,0.000116791421139247,0
4life,2.50836120401338e-05,8.36120401337793e-06,0
"5 ðšð°ð¿ðµð»ñœ, ð’ð¸ñ€ð¾ð±ð½ð¸ðº ð›ñ–ðº",1.2386968908708e-06,4.12898963623601e-07,0
555,2.87491255474313e-06,9.58304184914376e-07,0
5alive,1.70127041693277e-05,5.67090138977591e-06,0
5star,5.7829653118464e-06,1.9276551039488e-06,0
5th avenue,1.00334448160535e-05,3.34448160535117e-06,0
7-11 big gulp,3.23138319357601e-06,1.077127731192e-06,0
7-eleven,0.00010253155286478,3.41771842882601e-05,0
7-elevn,1.01862383919325e-05,3.39541279731083e-06,0
7-up,0.00101261869065467,0.000343722369584439,0
7 eleven,0.000484887667690318,0.000161629222563439,0
7 eleven inc,0.000214455309045419,7.14851030151395e-05,0
7 povos food products,1.46473646949686e-05,4.88245489832288e-06,0
7/11 inc,0.000121617512921861,3.04043782304652e-05,0
747,6.47319020390549e-05,2.1577300679685e-05,0
7ana,3.20557342365927e-06,1.06852447455309e-06,0
7days,3.3333703707819e-05,1.1111234569273e-05,0
7days croissant,3.23138319357601e-06,1.077127731192e-06,0
"7days, chipita",8.35377246253982e-06,3.63309161290481e-06,0
"7days, chipita, chipita international, chipita s.a., muchico bakery - chipita",0.000308529287758321,0.000145620172477763,5.57211211570732e-05
"7days, edita food industries",3.23811689407979e-06,1.11612888232543e-06,0
"7days, fine life, pinotuäna",1.47010180454997e-05,6.63497274619896e-06,0
7select,1.01862383919325e-05,3.39541279731083e-06,0
805 beer,2.44718166245208e-05,8.15727220817359e-06,0
88 vape,1.47659232024334e-06,4.92197440081114e-07,0
888 the tarik,0.000112443778110945,3.74812593703148e-05,0
888 white coffee,8.64952139314958e-06,2.88317379771653e-06,0
"9 de oro, molino cañuelas",3.89322364471869e-05,1.59812208346824e-05,0
9 round,9.80067869699977e-06,2.45016967424994e-06,0
99 proof,6.04579367121172e-05,1.71511877197496e-05,0
99 speedmart,1.29006040707856e-06,6.45030203539281e-07,0
999 cr sanjiu,1.41929681571625e-05,5.62097748798516e-06,0
999 food banyuwangi,1.08657121279842e-05,3.08247152566928e-06,0
99cent,5.81648974843682e-05,1.93882991614561e-05,0
a-mount,1.97120723301641e-06,6.57069077672136e-07,0
ã–lz,9.10383554203095e-06,3.45292317666908e-06,0
ã–zkaynak water companies group,1.92886907302321e-05,6.42956357674405e-06,0
a & j,8.53910197110937e-06,2.84636732370312e-06,0
a (clear) plastic bottle,4.89436332490415e-05,1.63145444163472e-05,0
a chau,5.74982510948625e-06,1.91660836982875e-06,0
a k food & bevarege,1.71511877197496e-06,5.71706257324986e-07,0
a mild,4.20765224409743e-05,1.62788816115898e-05,0
a mild cigarette box,9.86896211415099e-05,3.28965403805033e-05,0
a ming,1.41929681571625e-05,5.62097748798516e-06,0
a one milk products private limited,2.89307918008904e-05,8.20731682294766e-06,0
a p india,3.13399286472064e-07,8.89075989991672e-08,0
a plus supply,2.50836120401338e-05,8.36120401337793e-06,0
a product of victan companies,1.26289018952062e-06,3.87092778397126e-07,0
a r dudh khamar,1.71511877197496e-06,5.71706257324986e-07,0
a s k foods pvt ltd,9.15042846881305e-07,4.57521423440653e-07,0
a satu cigarette box,0.000131586161522013,4.38620538406711e-05,0
a z z,1.77341648686194e-05,5.9113882895398e-06,0
"å umi, å½ito prehrambena industrija d.o.o.",4.70513252535769e-05,1.65808874375736e-05,0
a& p food ltd,3.64819373368003e-06,1.21606457789334e-06,0
a&b breverage,3.948831009548e-06,1.12023574738951e-06,0
a&c,6.3044372507288e-06,1.78849283708619e-06,0
a&p foods limited,8.84023132664436e-06,2.70964944877988e-06,0
"a. m. acosta sorveteria - me, rochinha",6.95593609407532e-05,2.31355154879374e-05,0
a. vogel,1.59166286988753e-06,3.97915717471882e-07,0
a. zorbas & sons,2.7821351407346e-05,7.89258195953079e-06,0
"a.k confectionary ltd, bake food international ltd",9.39676597833757e-05,2.76149857322574e-05,0
å˜‰é “éºµåœ…,4.66671851909466e-05,1.16667962977366e-05,0
å¤ªèˆˆ,1.55557283969822e-05,3.88893209924555e-06,0
â€žsazerac company,4.55955674395636e-05,1.49407420708851e-05,0
a+,9.27895017957668e-07,2.31973754489417e-07,0
äã´ng ã,1.34226686502388e-06,4.47422288341294e-07,0
äã´ng triá»u milk,1.34226686502388e-06,4.47422288341294e-07,0
äáº£o cã¡t,1.34226686502388e-06,4.47422288341294e-07,0
"äeskã¡ republika, gambrinus",2.88572527895344e-05,9.61908426317815e-06,0
ãgua do luso,6.75585284280934e-05,2.67558528428094e-05,0
å¼·äººä¹³é…¸å¥¶,1.55557283969822e-05,3.88893209924555e-06,0
å½iva voda d.o.o.,2.41406191062942e-05,8.04687303543139e-06,0
a1 sports,1.70058386712771e-05,5.66861289042571e-06,0
"a1, amway",4.63947508978834e-07,1.15986877244709e-07,0
a1:aa nutrition a2 axel food,9.40197859416191e-08,2.66722796997502e-08,0
a2 green tea,1.89310279548179e-05,6.31034265160598e-06,0
aa pharmacy,1.29006040707856e-06,6.45030203539281e-07,0
aå¡iä,3.58978347622666e-06,1.19659449207555e-06,0
"aachi, aachi group",9.73212808981522e-05,3.63579316372814e-05,3.05147103443134e-06
aaecg-surya nepal pvt. lmtd,4.82634901166978e-06,1.36917702458717e-06,0
aafi,5.22228024755829e-06,1.48149794256973e-06,0
aai mata farsan and wafers,2.09904703264718e-06,6.99682344215726e-07,0
aaiga masale & food product,4.63947508978834e-07,1.15986877244709e-07,0
aanchal dairy products,2.82059357824857e-07,8.00168390992504e-08,0
aareymilk,2.99505815404582e-05,9.98352718015275e-06,0
aarong,2.68640983152148e-05,7.62102079864251e-06,0
aarong dairy,9.5094153328194e-06,2.69770647739558e-06,0
"aarong dairy products, harvey fresh, ljubljanske mlekarne",5.22359310822019e-05,1.58348231721925e-05,6.78901180573422e-07
aarson lozenges factory,3.13399286472064e-07,8.89075989991672e-08,0
aarstiderne aps,5.89464882943142e-05,1.67224080267559e-05,0
"aashirvaad svasti, ashirwad",1.3918425269365e-06,3.47960631734126e-07,0
ab (harpin food ingre corp.ltd.),8.54819579642472e-06,2.13704894910618e-06,0
ab inbev,5.01672240802674e-05,1.42318366185156e-05,0
ab inbev efes,0.000100334448160535,3.34448160535117e-05,0
abadi maju sigaret,3.39815847062223e-05,1.32127668359552e-05,0
abangku hari-hari,2.62055365747398e-06,6.55138414368496e-07,0
abant,5.98614539903756e-06,1.99538179967919e-06,0
"abant su, abant su",0.00334448160535117,0.00133779264214047,0
abbott,1.13372257808514e-05,3.77907526028381e-06,0
abbott grow gold,2.87491255474313e-06,9.58304184914376e-07,0
abbott healthcare solution,4.63947508978834e-07,1.15986877244709e-07,0
abbott laboratories,4.61354917743173e-05,1.65631911724225e-05,1.72801240298182e-06
abc,0.000182613279466727,9.86505622896526e-05,2.803345016997e-05
abc baterai  baterai hp lem uhu baterai energizer,0.000124097870093293,3.52050695300123e-05,0
abc kecap,3.32922072052507e-05,1.5918276787842e-05,0
abc plastindo,9.05137105643077e-07,3.01712368547692e-07,0
abc president indonesia,1.11649455960991e-05,4.12393169009662e-06,0
abc sealants,6.65127266559729e-07,2.21709088853243e-07,0
"abc, abc plus, santos jaya abadi sidoarjo",0.000107469171779245,4.27641120387048e-05,6.18821870404817e-06
"abc, abc president indonesia, abc president indonesia, nu green tea, pt abc president indonesia",9.62244532874727e-05,4.02914908627097e-05,6.74517298558219e-06
"abc, pt heinz abc",7.81009417821826e-05,3.64779349426643e-05,0
"abc, saos abc",3.92027147879991e-05,9.80067869699977e-06,0
abdul monem ltd.,6.86047508789984e-06,2.28682502929995e-06,0
abena a/s,0.000119925364490582,4.23127597040641e-05,0
abhijaya,4.63947508978834e-07,1.15986877244709e-07,0
abhiraj industries,4.63947508978834e-07,1.15986877244709e-07,0
abi-ramia brothers for the commerce sarl,9.24650796773557e-05,2.62312282772641e-05,0
abi fresh,3.81222236341563e-06,1.08148152153635e-06,0
abibnev efes,3.97364151130832e-05,1.32454717043611e-05,0
abimar foods,1.16667962977366e-05,3.88893209924555e-06,0
abk confectionary company,1.63544332780008e-06,5.45147775933361e-07,0
aboniki balm,1.8325926604664e-06,6.10864220155465e-07,0
abraaj,5.48339425993621e-05,1.55557283969822e-05,0
abraj,0.000138183758319323,4.64174275979588e-05,0
abri general traders,5.89335965700647e-06,1.47333991425162e-06,0
absolute asia,9.81047937569677e-06,3.27015979189892e-06,0
"absolute manufacturing, asia brewery inc., unspecified",6.79190549259e-05,3.76081547722726e-05,1.18550457985305e-05
"absopure, arthur and belle porteus",6.36038256175556e-05,2.51129495980755e-05,0
abul khayer consumer products ltd,8.5755938598748e-07,2.85853128662493e-07,0
abyar,3.99357858527367e-05,1.38168515745592e-05,0
"acadia, waud capital partners",0.000232588442695642,0.000112115233228689,2.11770022346907e-05
açaí tok,4.14605157688162e-06,1.38201719229387e-06,0
acapulcoco,4.0133779264214e-05,1.33779264214047e-05,0
accel gel,0.000133779264214047,4.45930880713489e-05,0
ace brands,4.10062527264795e-06,1.16329794968736e-06,0
ace candeggina p&g,2.64038021475092e-05,8.80126738250308e-06,0
ace cook,7.40309112873458e-05,2.95951201142418e-05,0
ace hardware corporation,3.03734380526448e-05,1.10250250448553e-05,0
"acecook jsc vietnam, hao hao",6.16124039147881e-05,2.0537467971596e-05,0
acecook vietnam,2.17881537807894e-05,7.2627179269298e-06,0
acefood,5.94927056985088e-07,1.98309018995029e-07,0
"acefood, anugra citra, anugrah citra",5.68475340458711e-05,2.42121739105133e-05,0
"acefood, sentral multi rasa",2.82232715821508e-05,1.3013148300164e-05,2.51087207608947e-07
acerbi gervassoni maría mercedes,1.88244743265544e-06,6.27482477551814e-07,0
ach foods,4.20295816715253e-06,1.19232855805746e-06,0
achoura (prc),2.59262139949703e-06,8.64207133165677e-07,0
aci,3.78804032012853e-05,1.49022343390746e-05,0
"aci, itc",1.12066353276223e-05,4.8602852751657e-06,0
acivag,2.41769754603699e-06,8.0589918201233e-07,0
ack,6.54960981047936e-05,1.85804533630621e-05,0
ack food bali,0.000100965482425696,2.52413706064239e-05,0
ack group,2.12149378988129e-05,8.60844047340274e-06,0
acl & a foods,5.30168814586711e-06,1.7672293819557e-06,0
acme,1.02907126318498e-05,3.43023754394992e-06,0
acqua amata - casamassima,2.42825842833777e-05,7.66697995752264e-06,0
acqua bonna,0.000162611002191212,4.61307807634644e-05,0
acqua fiordacqua,1.32019010737546e-05,4.40063369125154e-06,0
acqua fresh tootpaste,7.24063027962625e-05,2.41354342654208e-05,0
acqua ginevra,3.96057032212639e-05,1.32019010737546e-05,0
acqua minerale,2.59105443051931e-05,7.35050902274983e-06,0
"acqua minerale, san gemini spa",0.000299582090763184,0.000104024847738545,0
acqua norda,1.32019010737546e-05,4.40063369125154e-06,0
acqua santo stefano,1.32019010737546e-05,4.40063369125154e-06,0
acqua sepinia,1.95298195932915e-05,4.88245489832288e-06,0
acqua sveva,5.15468014527006e-05,1.73913800448013e-05,0
acqua toka,9.76490979664575e-06,2.44122744916144e-06,0
acque minerali italia spa,1.56772575250836e-05,5.2257525083612e-06,0
acs manufacturing corporation,0.000412938538633717,0.000250874805920561,8.65134149715953e-05
act,1.02907126318498e-05,3.43023754394992e-06,0
act ii popcorn,9.33128845691898e-06,3.69555978491842e-06,0
actavis,3.27480490523968e-05,9.29022668153103e-06,0
actavisâ group ptc,2.81311536898697e-05,9.37705122995655e-06,0
actice pure water,2.59262139949703e-06,8.64207133165677e-07,0
actimed,1.12735335011837e-05,3.75784450039457e-06,0
actimel drink,1.12816245539357e-05,3.20046086636476e-06,0
action synergy,7.9469482028061e-07,2.25445339086698e-07,0
actisept,0.000154360689477746,5.14535631592488e-05,0
activas,5.86751158833539e-06,1.9558371961118e-06,0
active fitness,1.09475666296274e-06,3.64918887654247e-07,0
active flyer (frisbee),6.41114684731854e-06,2.13704894910618e-06,0
active nutrition,1.08763629442315e-05,2.71909073605786e-06,0
active nutrition international,8.02675585284281e-05,2.67558528428094e-05,0
active sparkle,2.3631273364601e-05,7.87709112153367e-06,0
activia,1.8802879457893e-05,8.32318015381056e-06,0
adaå¾u cipsi,4.89436332490415e-05,1.63145444163472e-05,0
adabi consumer industries,1.10866793547553e-05,3.69555978491842e-06,0
adam sari,9.9627867539686e-05,2.82632248339536e-05,0
"adam sari, enesis, enesis group, sari enesis indah",0.00014982281393539,8.03701660884676e-05,1.79780785363573e-05
adams,0.000102809392887557,4.6602012671654e-05,6.89583836154881e-06
adams & brooks,4.26048612146646e-06,1.42016204048882e-06,0
adani wilmar ltd,6.26798572944127e-07,1.77815197998334e-07,0
adant,9.85603616508203e-06,3.28534538836068e-06,0
adazu,4.23575506746322e-05,1.41191835582107e-05,0
"ādažu čipsi, orkla, orkla confectionery & snacks latvija",6.0015020632273e-05,2.56013989647815e-05,0
adb group,1.66568687788467e-05,6.68174512144886e-06,0
adega homer,4.14605157688162e-06,1.38201719229387e-06,0
adelholzener,2.91387555161283e-06,9.7129185053761e-07,0
adelholzener alpenquellen gmbh,6.97299159141323e-06,2.37559315591612e-06,0
"aden beverage co, yemen",8.36120401337793e-05,2.78706800445931e-05,0
adi karya gemilang,5.53142232302652e-05,2.22823061403771e-05,0
adil yoghourt,3.58337314859054e-06,1.19445771619685e-06,0
"adinath agro, surabhi",9.27895017957668e-07,2.31973754489417e-07,0
aditmaq,3.66518532093279e-05,9.16296330233197e-06,0
adn (mineral water),9.76227063183585e-05,3.25409021061195e-05,0
adocyl,1.52563665532769e-05,3.81409163831923e-06,0
adonis water cyprus,2.2458075106004e-05,8.05835852732831e-06,0
adonko atadue ginger,1.02694230477899e-05,2.91331150291914e-06,0
adonko bitters,2.01585192651303e-05,6.71950642171012e-06,0
adonko company ltd,2.10523172479694e-06,5.97228858098423e-07,0
adorable,3.89121978309057e-06,1.37399666913978e-06,0
adv farma,1.4645090259457e-05,4.15463553459773e-06,0
advance auto's,4.66671851909466e-06,1.55557283969822e-06,0
adw lebensmittel gmbh,6.75585284280934e-06,2.67558528428094e-06,0
adya enterprises,4.16109686513365e-07,1.38703228837788e-07,0
adyaboga pranata industries,1.61829755097637e-05,5.39432516992124e-06,0
adyar anand bhavan sweets and snacks,2.16296304307271e-06,9.98262184208829e-07,0
æ€¡å¯¶,3.11114567939644e-05,7.77786419849109e-06,0
aegean,2.66050906623892e-06,8.86836355412972e-07,0
aekyung,1.82633807800747e-05,5.20839689633493e-06,0
"aeon co, ltd",6.45030203539281e-06,3.2251510176964e-06,0
aerial,3.00689405193351e-05,1.05960221927202e-05,0
aerobie,2.44718166245208e-05,8.15727220817359e-06,0
aeroguard,6.08087564609304e-06,2.02695854869768e-06,0
af deutchland,8.63092027187399e-05,2.1577300679685e-05,0
afa,3.61300133960504e-06,1.41349460571895e-06,0
afanasy holding company,5.52551369021014e-05,1.95369980984086e-05,0
afbl,4.7547076664097e-07,1.34885323869779e-07,0
afc sushi,0.000111482720178372,2.78706800445931e-05,0
afer,6.65127266559729e-07,2.21709088853243e-07,0
affettata da raspini spa,4.31546013593699e-06,1.438486711979e-06,0
affinity,1.44366112461202e-05,4.81220374870672e-06,0
afg national,1.3650945327964e-05,4.55031510932132e-06,0
afmo,9.7129185053761e-07,3.23763950179203e-07,0
africa beach bar,6.65127266559729e-07,2.21709088853243e-07,0
africa ice,3.41855019286321e-06,1.1395167309544e-06,0
"africafe, africatee and cofees",7.57241118192718e-05,2.52413706064239e-05,0
"african benedictines of hanga, njombe chemchemi",0.000361973481662188,0.000114452376067917,0
african fruit,5.32195200851512e-05,1.77398400283837e-05,0
african pride tea bag,0.000132245977518184,4.40819925060613e-05,0
afriquia,0.00016574532703565,7.19965376346863e-05,0
afriquia gaz,0.000180930972092768,6.03103240309228e-05,0
"afritea ltd, simba chai",3.68199809763432e-05,1.22733269921144e-05,0
afro- lait,5.87628543743942e-07,1.66703132977005e-07,0
afroa premium gin,1.62946728640739e-06,4.07366821601848e-07,0
afroditi,9.66335873677283e-06,2.74137836504194e-06,0
afya,8.08363247484824e-05,3.20143860390031e-05,0
afya mango,8.52706590232592e-05,4.25672225901697e-05,0
ag barr company,2.71174184217663e-05,9.03913947392208e-06,0
aga,7.82334878444718e-06,2.60778292814906e-06,0
agad company ltd,4.41431441775284e-05,1.47143813925095e-05,0
agad ltd,4.4305026152618e-05,1.48762633675991e-05,0
agana circle,7.6010945576163e-07,2.5336981858721e-07,0
agar swallow,1.70735664864053e-06,4.84356496068236e-07,0
agarwalsweets,4.63947508978834e-07,1.15986877244709e-07,0
agave loco llc,4.6051943979933e-06,1.3064381270903e-06,0
agbara bitters,1.37389226318649e-05,4.87327839918668e-06,0
agd,7.15005591635716e-06,2.59251279796966e-06,0
agelanggeng,2.37970822794035e-06,7.93236075980118e-07,0
agi,1.43745627737156e-06,4.79152092457188e-07,0
agilo indonesia,5.90202636238442e-05,1.96734212079481e-05,0
agios nikolaos water,0.00147157190635452,0.000490523968784838,0
agmark,1.22864025714541e-05,4.26670209806128e-06,0
agraria,3.33891674411099e-06,1.112972248037e-06,0
agri-pro pack limited,3.25893457281478e-06,8.14733643203696e-07,0
agri wangi,2.00904680445617e-05,8.55628722161482e-06,0
agri wangi indonesia,6.50227168421875e-05,2.60093596577529e-05,0
agricultural marketing co.ltd,3.51007200848711e-06,9.95765108790672e-07,0
agrifreda î‘î•î’î•,6.65127266559729e-07,2.21709088853243e-07,0
agrifreda s.a.,0.000158861056755265,4.50669664553945e-05,0
agrim international,9.98352718015275e-06,3.32784239338425e-06,0
agripro,6.65127266559729e-07,2.21709088853243e-07,0
agro dahlia profitamas,1.2016101576112e-05,4.00536719203733e-06,0
agrobest,2.66050906623892e-06,8.86836355412972e-07,0
agrocentro,9.33343703818931e-06,3.11114567939644e-06,0
agrochemicals fitosanitario,6.65127266559729e-07,2.21709088853243e-07,0
agrokor,0.000189496312052599,7.55889974246696e-05,0
agros juice uganda,1.43198557945772e-05,6.11137091000128e-06,0
"agros water, agros water",0.0025273132664437,0.00084726867335563,0
agthia group,3.09674222717701e-06,1.032247409059e-06,0
"agua azul sa, agua azul sa",8.74614564065655e-05,2.63136127881851e-05,0
água bem leve,4.14605157688162e-06,1.38201719229387e-06,0
agua bes,2.41769754603699e-06,8.0589918201233e-07,0
agua cortes,3.58337314859054e-05,1.19445771619685e-05,0
agua cristalina,4.2248336320157e-05,1.1985343636924e-05,0
água da serra,8.53910197110937e-05,2.13477549277734e-05,0
agua das pedras,7.11534816380591e-06,2.97602510705927e-06,0
agua de la costa,2.41769754603699e-06,8.0589918201233e-07,0
agua de las misiones,2.41769754603699e-06,8.0589918201233e-07,0
agua de manantial los cedros,2.31162699193389e-05,6.55780706931602e-06,0
água mineral da mata,2.21733587095105e-05,7.39111956983684e-06,0
"água mineral davida, hélios",7.43218551663304e-05,2.90934866510732e-05,0
"água mineral h leve, hleve",0.000143906252002204,4.26966004177398e-05,0
água mineral hortênsias,2.21733587095105e-05,7.39111956983684e-06,0
água mineral imperatriz,0.000325408223490065,0.00010977769034035,0
água mineral natural daflora,1.84099904881716e-05,6.13666349605719e-06,0
água mineral santa rita,0.000206570922683455,6.88569742278182e-05,0
"água mineral santa rita, água mineral santa rita, água santa catarina",0.000110994395903841,4.99888223638374e-05,0
"água mineral santa rita, baptista de almeida comercio e indústria ltda - balas santa rita, santa rita",0.000218064597926305,0.000126437425232653,2.43500434228275e-05
agua peã±aclara,9.99210119178436e-05,3.56860756849442e-05,0
agua planeta azul s.a,2.32659589937473e-05,5.81648974843682e-06,0
água rara,4.14605157688162e-06,1.38201719229387e-06,0
agua são martinho,4.10062527264795e-06,1.16329794968736e-06,0
agua springs,4.34851143154777e-05,1.23362026426887e-05,0
agua vida,1.60946043124407e-05,4.56584519501866e-06,0
aguardiente,7.82334878444718e-06,2.60778292814906e-06,0
águila andina sa,1.17901819225071e-06,3.93006064083569e-07,0
agus karsa permana,1.81027421128615e-06,6.03424737095385e-07,0
ah cola,3.12299275731466e-05,8.85955392146005e-06,0
ah grop,1.3115614138632e-05,4.37187137954401e-06,0
ah huat - white coffee,8.64952139314958e-06,2.88317379771653e-06,0
aha,7.08065925457228e-06,2.00869766087157e-06,0
"ahb group, î‘î—î’ group",1.06420362649557e-05,3.54734542165189e-06,0
"aheb, asia health energi beverages, fashion food co.,ltd., torpedo, torpedo",0.000152007542927834,7.90394265208458e-05,2.34218154974522e-05
ahenfie water co,3.73917198113795e-06,1.24639066037932e-06,0
ahinsa pure water system,2.57927612766508e-05,7.31709539763146e-06,0
"ahlan ice, minesota traders ltd",2.6386158807015e-05,8.95788505560945e-06,0
ahmad tea,3.03010790971794e-06,7.57526977429484e-07,0
ahmed,6.86047508789984e-06,2.28682502929995e-06,0
"ai global investments (cyprus) pcc limited, crax, dfm foods, dfm foods",3.04461003009688e-05,1.34716880221124e-05,1.73513373681284e-06
ai kua,8.23257010547981e-06,2.05814252636995e-06,0
ai misi,7.24436448812528e-06,2.41478816270843e-06,0
ai shang,3.3959569788473e-05,1.3086460785302e-05,1.62673150513085e-06
ai si,6.15548761721074e-06,2.05182920573691e-06,0
ai xiao,8.23257010547981e-06,2.05814252636995e-06,0
ai yaya,7.60599848958893e-05,2.1577300679685e-05,0
ai zhi ji,4.35833554856298e-06,1.23640724781929e-06,0
aia,1.29552721525965e-05,3.67525451137491e-06,0
"aica indria, dinea inuria, lem fox",2.26712051791547e-05,9.35651221766798e-06,3.88468329119951e-07
aice,6.02299637893563e-05,2.42348260261053e-05,4.22419858965374e-06
aidis,2.92947293899373e-05,9.76490979664575e-06,0
aim biscuits,1.18738991905959e-05,3.95796639686529e-06,0
"aim tanzania campany ltd, eagle safety gloves, eagleburgmann india pvt ltd",6.8971490325353e-05,2.36401994277227e-05,0
ainsworth pet,0.0020066889632107,0.000668896321070234,0
ainsworth pet nutrition,3.71609067261241e-05,1.2386968908708e-05,0
air canada,3.41855019286321e-06,1.1395167309544e-06,0
"air gangga dewata alami, prisma tirta, prisma tirta",0.000151316818442196,5.50734350737976e-05,1.88434916651215e-06
air jagung ketagih,1.29006040707856e-06,6.45030203539281e-07,0
air madu,8.36120401337793e-06,2.78706800445931e-06,0
air marqo,5.94927056985088e-07,1.98309018995029e-07,0
air mineral,0.000145964030997058,4.89435575576957e-05,0
air mineral ruteng,0.000591011133000412,0.000197003711000137,0
